"regulatoryGene","targetGene","weight"
"CCR7","CD5",0.0182821981812918
"GNLY","NKG7",0.0182632844120166
"IL7R","CTLA4",0.0182360100116152
"CD28","GZMK",0.0182322046626515
"GIMAP5","MYO1F",0.0182224720376805
"ARHGAP25","FGFBP2",0.0181625146769314
"S1PR5","ARHGAP25",0.0181404182021542
"GZMK","CD2",0.0181384006482078
"EIF3L","CD14",0.0181198510824944
"GPR183","GZMH",0.0181070777406276
"AIF1","CD69",0.018103058136302
"EIF3L","MYO1G",0.0180973757197545
"GZMH","TBX21",0.0180659864123985
"CD5","RSL1D1",0.0180623309786309
"NKG7","CD8B",0.0180538813161015
"GZMK","CD8A",0.0180483513766918
"CD2","APEX1",0.0180369916553557
"CD8A","ITGB2",0.018035331831276
"GZMK","ZNF683",0.0180206089164589
"IL2RB","CD8A",0.0180043948482914
"NKG7","TIGIT",0.0180037367490993
"CD27","GIMAP5",0.0179736784747897
"RPS8","GIMAP5",0.0179710762779484
"TOMM7","S1PR5",0.0179689143506801
"GZMH","FCRL3",0.0179646493988084
"FGFBP2","GPR183",0.0179421449235313
"GNLY","TBX21",0.0179291909873556
"CD6","GZMK",0.0179224666775111
"CD2","EEF2",0.0179191280277362
"CD8B","GIMAP5",0.0179179567119876
"CCR7","CD28",0.017917355964618
"CD3G","FGR",0.0179123826888992
"GZMH","IL7R",0.0178837344037918
"NKG7","PRF1",0.0178759144373668
"RSL1D1","LTB",0.0178746313854065
"ITGB2","LTB",0.017858255493636
"GZMB","GZMH",0.0178496347201227
"TBX21","IL2RB",0.0178469120076215
"CD52","GIMAP5",0.0178393267268086
"ZNF683","TOMM7",0.0178151710797552
"CD3G","GZMK",0.0178073283034747
"CD6","IL2RA",0.0177826645539939
"RACK1","EEF1B2",0.017778433105893
"FGFBP2","FCGR3B",0.0177730508485442
"GZMB","APEX1",0.017766660901209
"SAMD3","IL17RA",0.0177441527788864
"CD3D","NKG7",0.0177271658435347
"SAMD3","NOP53",0.017718092759718
"S1PR5","ITGAM",0.0177128706190565
"LGALS1","CTLA4",0.0177053030700939
"GZMH","AIF1",0.0176893595104546
"CD14","RACK1",0.0176802610409764
"MYO1F","ITGB2",0.0176802346253216
"IL17RA","APEX1",0.0176800711134422
"CD52","APEX1",0.0176786582201566
"KLRB1","GZMH",0.0176523787689968
"GNLY","ACTN1",0.017644065212203
"FGFBP2","CTLA4",0.0176409844235252
"EEF2","CD4",0.0176077323855663
"RACK1","APEX1",0.0176068215887347
"GZMH","BTLA",0.0176043172984818
"EMP3","SELL",0.0176010063985461
"GZMB","EIF3L",0.0175660440662189
"KLRB1","SAMD3",0.0175413567178772
"GZMB","CD27",0.0175388762451868
"GZMK","FCRL3",0.0175347773764799
"EIF3L","PTPRC",0.0175300078408719
"GZMK","RACK1",0.0175282070799126
"PTPRC","CD2",0.0175168307890483
"EIF3L","RPS8",0.0175143578595032
"CCR7","FGR",0.0175129107990437
"ARHGAP25","S1PR5",0.0175090937990612
"PTPRC","ZNF683",0.0175048572138829
"CD5","APEX1",0.0175039023249164
"ARHGAP25","SAMD3",0.0174921470264904
"FGR","IL2RB",0.0174801117386926
"IL7R","FCMR",0.0174761278504937
"PRF1","GZMB",0.0174716216333042
"CD6","CD2",0.0174644837703349
"FGR","SELPLG",0.0174580267376202
"PRF1","CD28",0.0174563203465616
"NOP53","GZMB",0.0174518574139409
"ITGAM","IL17RA",0.0174445816723087
"MYO1F","BTLA",0.017433476894687
"IL2RB","TIGIT",0.0174233342979105
"GIMAP5","ARHGAP25",0.0174214057846791
"CTLA4","KLRB1",0.017420334915702
"CD14","LTB",0.0174165258704102
"CD14","APEX1",0.0174065003527779
"EIF3L","RSL1D1",0.0174015169343537
"VCL","SELL",0.0173974153509468
"IL2RB","LGALS1",0.01739663034956
"KLRB1","CD3G",0.0173909267851181
"VCL","GNLY",0.0173863549257691
"IL7R","SAMD3",0.0173742542770174
"KLRB1","FLNA",0.0173653312510752
"CD8B","RPS8",0.0173645304993634
"SAMD3","ARHGAP25",0.0173602779838687
"CD3D","IL17RA",0.0173578803332429
"NKG7","CD2",0.0173510620850817
"NKG7","KLRB1",0.0173502882603963
"CD3G","TBX21",0.017308258942248
"EEF2","ITGAM",0.0173076696278986
"ARHGAP25","CD3G",0.0172948445908233
"VCL","IL17RA",0.0172825291299156
"CD3D","CD5",0.0172795027453456
"GZMK","KLRB1",0.0172705184843528
"CD5","CD27",0.0172676465394574
"IL2RB","SELL",0.0172673296257454
"CD3G","LTB",0.0172642762229399
"TBX21","EEF2",0.0172629336806618
"TIGIT","IL2RA",0.0172620007003679
"PLEK","PRF1",0.0172566323941325
"IL2RB","IFNG",0.0172498179662589
"CD8B","EIF3L",0.0172420998511944
"AIF1","KLRB1",0.0172341432586616
"RPS8","TIGIT",0.0172319349461705
"KLRB1","CD8A",0.0172264976251241
"CD52","PTPRC",0.0172051471356393
"CD8A","SAMD3",0.0171778707668788
"SAMD3","CD5",0.0171555316638386
"GZMK","CD4",0.0171532645180909
"ZNF683","GZMH",0.0171504323774789
"CD3G","KLRB1",0.0171491129730697
"IL2RB","CD4",0.0171472334406131
"RPS8","LTB",0.017142681564565
"ITGAM","SELL",0.0171340180706091
"BIN2","FCRL3",0.0171336405502461
"KLRB1","FGR",0.0171314755396655
"CD2","LTB",0.0171159987488603
"KLRB1","CD14",0.0171104872124614
"GNLY","IL7R",0.0171104732752443
"RPS5","GZMK",0.0171046911122206
"SAMD3","GZMB",0.0171036315467603
"CD3E","FGR",0.017098308544151
"ARHGAP25","IL2RA",0.0170900476804336
"GNLY","GPR183",0.017089725246071
"CD3D","ARHGAP25",0.0170844518707872
"NKG7","GIMAP5",0.017065709678822
"CCR7","FCRL3",0.0170583889312801
"FCMR","IL7R",0.0170525013950755
"CD8A","FCGR3B",0.0170483070951754
"CD8A","FGFBP2",0.0170279971963545
"EEF1B2","SELPLG",0.0170275712130835
"CD8A","SELL",0.0170271992511561
"CD27","BTLA",0.0170236169515703
"EEF2","ARHGAP25",0.0170054747897369
"RSL1D1","KLRB1",0.016991475130223
"FLNA","KLRB1",0.0169789899066487
"ARHGAP25","TOMM7",0.0169775334454518
