Interactor_A	Interactor_B	Score	type
522	nsp4	EMD	599	physical
523	ORF7b	ESYT1	1413	physical
524	ORF7a	ESYT1	1292	physical
525	M	ESYT1	1167	physical
526	E	ESYT1	898	physical
527	ORF8	ESYT1	725	physical
528	S	ESYT1	637	physical
529	nsp6	ESYT1	1137	physical
530	nsp4	ESYT1	1188	physical
531	M	ESYT2	341	physical
532	ORF3b	FAM91A1	670	physical
533	nsp3	FXR1	862	physical
534	nsp3	FXR2	537	physical
535	ORF3b	GOLGA5	535	physical
536	E	GRAMD1A	375	physical
537	ORF3b	HGS	330	physical
538	ORF9b	HK1	338	physical
539	ORF7b	HMOX2	514	physical
540	ORF7a	HMOX2	467	physical
541	nsp4	HMOX2	365	physical
542	E	HSPA5	924	physical
543	ORF7a	HSPA5	893	physical
544	S	HSPA5	847	physical
545	nsp4	HSPA5	1116	physical
546	ORF7b	ITGB1	407	physical
547	ORF7a	EMC1	867	physical
548	ORF7b	EMC1	762	physical
549	ORF8	EMC1	450	physical
550	nsp6	EMC1	2693	physical
551	nsp4	EMC1	1159	physical
552	S	KTN1	319	physical
553	ORF7b	LBR	1426	physical
554	E	LBR	1162	physical
555	ORF7a	LBR	1000	physical
556	M	LBR	706	physical
557	ORF8	LBR	673	physical
558	ORF6	LBR	655	physical
559	S	LBR	647	physical
560	nsp6	LBR	882	physical
561	nsp4	LBR	757	physical
562	ORF7b	LEMD3	865	physical
563	M	LEMD3	546	physical
564	ORF6	LEMD3	516	physical
565	E	LEMD3	485	physical
566	ORF7a	LEMD3	467	physical
567	nsp6	LEMD3	407	physical
568	nsp4	LEMD3	768	physical
569	ORF6	LMAN1	797	physical
570	ORF7b	LMAN1	645	physical
571	ORF7a	LMAN1	605	physical
572	E	LMAN1	478	physical
573	M	LMAN1	427	physical
574	nsp4	LMAN1	580	physical
575	ORF3b	LRBA	1071	physical
576	ORF7b	LRRC59	374	physical
577	ORF7a	LSG1	409	physical
578	ORF7b	LSG1	390	physical
579	nsp6	LSG1	358	physical
580	ORF7a	MAGT1	369	physical
581	ORF9b	MAVS	403	physical
582	ORF6	MCM3AP	481	physical
583	nsp4	MOSPD2	404	physical
584	E	MTDH	527	physical
585	ORF7b	MTDH	517	physical
586	ORF7a	MTDH	493	physical
587	S	MTDH	339	physical
588	nsp6	MTDH	316	physical
589	nsp4	MTDH	465	physical
590	S	MTR	306	physical
591	ORF6	NUP133	355	physical
592	M	NUP155	397	physical
593	ORF6	NUP155	333	physical
594	ORF7b	NUP155	323	physical
595	nsp4	NUP155	394	physical
596	ORF6	NUP205	416	physical
597	ORF6	NUP214	1247	physical
598	ORF6	NUP54	526	physical
599	ORF6	NUP62	400	physical
600	ORF6	NUP88	429	physical
601	ORF6	NUP98	1364	physical
602	M	OSBPL8	424	physical
603	ORF7b	OSBPL8	418	physical
604	ORF7a	OSBPL8	377	physical
605	E	OSBPL8	305	physical
606	nsp6	OSBPL8	647	physical
607	nsp4	OSBPL8	407	physical
608	ORF3b	PDXDC1	583	physical
609	M	PDZD8	322	physical
610	ORF7b	PGRMC2	493	physical
611	ORF7a	PGRMC2	454	physical
612	E	PGRMC2	448	physical
613	M	PGRMC2	377	physical
614	ORF8	PGRMC2	346	physical
615	S	PGRMC2	313	physical
616	nsp6	PGRMC2	377	physical
617	nsp4	PGRMC2	437	physical
618	ORF7b	POR	640	physical
619	ORF7a	POR	610	physical
620	E	POR	341	physical
621	ORF8	POR	341	physical
622	nsp6	POR	919	physical
623	nsp4	POR	480	physical
624	ORF8	PPIA	315	physical
625	ORF7b	PREB	515	physical
626	ORF7a	PREB	494	physical
627	E	PREB	348	physical
628	ORF8	PREB	339	physical
629	nsp6	PREB	434	physical
630	nsp4	PREB	423	physical
631	ORF9b	PRKAR2A	303	physical
632	ORF7b	PTPN1	446	physical
633	ORF7a	PTPN1	404	physical
634	E	PTPN1	327	physical
635	nsp4	PTPN1	330	physical
636	nsp6	RAB3GAP2	328	physical
637	ORF7b	RAB7A	334	physical
638	nsp6	RAB7A	301	physical
639	ORF7b	RABL3	427	physical
640	ORF6	RAE1	1058	physical
641	ORF7a	RPN1	1658	physical
642	ORF8	RPN1	1402	physical
643	S	RPN1	1229	physical
644	ORF7b	RPN1	443	physical
645	E	RPN1	411	physical
646	M	RPN1	328	physical
647	nsp6	RPN1	425	physical
648	nsp4	RPN1	1156	physical
649	ORF7a	RPN2	755	physical
650	ORF8	RPN2	587	physical
651	nsp4	RPN2	583	physical
652	ORF3b	SCYL3	392	physical
653	ORF6	SEC23A	433	physical
654	ORF6	SEC23B	697	physical
655	ORF6	SEC23IP	524	physical
656	ORF6	SEC24A	661	physical
657	ORF6	SEC24B	904	physical
658	ORF7a	SEC63	380	physical
659	ORF7b	SEC63	349	physical
660	nsp4	SEC63	371	physical
661	ORF7b	SLC12A2	316	physical
662	nsp4	SLC12A2	367	physical
663	ORF7b	SLC1A5	302	physical
664	ORF7b	SLC3A2	339	physical
665	nsp4	SLC3A2	323	physical
666	ORF7a	SLC4A7	364	physical
667	ORF7b	SLC4A7	328	physical
668	ORF3b	SLC4A7	302	physical
669	M	SMPD4	586	physical
670	S	SPCS2	314	physical
671	nsp6	SQSTM1	1376	physical
672	ORF7b	SRPR	630	physical
673	ORF7a	SRPR	586	physical
674	E	SRPR	474	physical
675	M	SRPR	391	physical
676	ORF8	SRPR	325	physical
677	S	SRPR	304	physical
678	nsp6	SRPR	413	physical
679	nsp4	SRPR	574	physical
680	ORF3b	STAM	411	physical
681	ORF3b	STAM2	506	physical
682	ORF7a	STT3B	642	physical
683	ORF8	STT3B	508	physical
684	S	STT3B	493	physical
685	nsp4	STT3B	417	physical
686	nsp6	TACC1	350	physical
687	nsp6	EMC3	558	physical
688	ORF7b	NDC1	747	physical
689	ORF7a	NDC1	320	physical
690	E	NDC1	315	physical
691	ORF3b	TMEM87A	350	physical
692	ORF7b	TMPO	2035	physical
693	ORF7a	TMPO	1475	physical
694	E	TMPO	1445	physical
695	M	TMPO	1040	physical
696	nsp6	TMPO	1345	physical
697	nsp4	TMPO	1321	physical
698	ORF9b	TOMM22	347	physical
699	ORF9b	TOMM70A	553	physical
700	ORF7b	TOR1AIP1	310	physical
701	nsp6	TOR1AIP1	391	physical
702	ORF7a	TRIM13	458	physical
703	ORF8	TRIM13	365	physical
704	ORF7b	TRIM13	320	physical
705	E	TRIM13	309	physical
706	ORF6	TRIP11	522	physical
707	ORF7a	EMC2	357	physical
708	nsp6	EMC2	413	physical
709	ORF7a	UBE2J1	319	physical
710	ORF7a	UBXN4	669	physical
711	ORF7b	UBXN4	424	physical
712	nsp6	UBXN4	449	physical
