Interactor_A	Interactor_B	Score	type	org1	org2
259	URI1	POLR1A	453	physical	Homo sapiens	Homo sapiens
260	URI1	POLR2A	832	physical	Homo sapiens	Homo sapiens
261	URI1	POLR2B	401	physical	Homo sapiens	Homo sapiens
262	URI1	POLR3A	1454	physical	Homo sapiens	Homo sapiens
263	URI1	PPP1CA	304	physical	Homo sapiens	Homo sapiens
264	URI1	RPAP3	2604	physical	Homo sapiens	Homo sapiens
265	URI1	RUVBL1	1414	physical	Homo sapiens	Homo sapiens
266	URI1	RUVBL2	1238	physical	Homo sapiens	Homo sapiens
267	URI1	TSC1	321	physical	Homo sapiens	Homo sapiens
268	URI1	URI1	1589	physical	Homo sapiens	Homo sapiens
269	URI1	WDR92	1327	physical	Homo sapiens	Homo sapiens
270	WDR92	CCT2	1877	physical	Homo sapiens	Homo sapiens
271	WDR92	CCT3	1528	physical	Homo sapiens	Homo sapiens
272	WDR92	CCT4	1738	physical	Homo sapiens	Homo sapiens
273	WDR92	CCT5	1408	physical	Homo sapiens	Homo sapiens
274	WDR92	CCT6A	1841	physical	Homo sapiens	Homo sapiens
275	WDR92	CCT6B	307	physical	Homo sapiens	Homo sapiens
276	WDR92	CCT7	1812	physical	Homo sapiens	Homo sapiens
277	WDR92	CCT8	1889	physical	Homo sapiens	Homo sapiens
278	WDR92	DPCD	581	physical	Homo sapiens	Homo sapiens
279	WDR92	EFTUD2	613	physical	Homo sapiens	Homo sapiens
280	WDR92	FAM83H	559	physical	Homo sapiens	Homo sapiens
281	WDR92	PDRG1	508	physical	Homo sapiens	Homo sapiens
282	WDR92	PFDN2	516	physical	Homo sapiens	Homo sapiens
283	WDR92	PFDN6	522	physical	Homo sapiens	Homo sapiens
284	WDR92	PIH1D1	1306	physical	Homo sapiens	Homo sapiens
285	WDR92	POLR2A	2063	physical	Homo sapiens	Homo sapiens
286	WDR92	POLR2B	2093	physical	Homo sapiens	Homo sapiens
287	WDR92	POLR2C	573	physical	Homo sapiens	Homo sapiens
288	WDR92	POLR2E	683	physical	Homo sapiens	Homo sapiens
289	WDR92	POLR2M	584	physical	Homo sapiens	Homo sapiens
290	WDR92	POLR3A	1824	physical	Homo sapiens	Homo sapiens
291	WDR92	PPP1CA	732	physical	Homo sapiens	Homo sapiens
292	WDR92	PPP1CC	692	physical	Homo sapiens	Homo sapiens
293	WDR92	RPAP2	1176	physical	Homo sapiens	Homo sapiens
294	WDR92	RPAP3	3782	physical	Homo sapiens	Homo sapiens
295	WDR92	RUVBL1	1966	physical	Homo sapiens	Homo sapiens
296	WDR92	RUVBL2	2319	physical	Homo sapiens	Homo sapiens
297	WDR92	SEC13	446	physical	Homo sapiens	Homo sapiens
298	WDR92	SNRNP200	518	physical	Homo sapiens	Homo sapiens
299	WDR92	SPAG1	456	physical	Homo sapiens	Homo sapiens
300	WDR92	TANGO6	1363	physical	Homo sapiens	Homo sapiens
301	WDR92	TBC1D7	363	physical	Homo sapiens	Homo sapiens
302	WDR92	TCP1	1697	physical	Homo sapiens	Homo sapiens
303	WDR92	TSC1	1309	physical	Homo sapiens	Homo sapiens
