"","ACTN1","AIF1","APEX1","ARHGAP25","BIN2","BTLA","CCR7","CD14","CD19","CD2","CD27","CD28","CD300A","CD3D","CD3E","CD3G","CD4","CD5","CD52","CD6","CD69","CD8A","CD8B","CTLA4","EEF1B2","EEF2","EIF3E","EIF3L","EMP3","FCGR3A","FCGR3B","FCMR","FCRL3","FGFBP2","FGR","FLNA","GIMAP5","GIMAP8","GNLY","GPR183","GZMB","GZMH","GZMK","IFNG","IL10RA","IL17RA","IL2RA","IL2RB","IL7R","ITGAM","ITGB2","KLRB1","KLRD1","KLRF1","LGALS1","LTB","MYO1F","MYO1G","NKG7","NOP53","NPM1","PLEK","PRF1","PTPRC","RACK1","RPS5","RPS8","RSL1D1","S1PR5","SAMD3","SELL","SELPLG","STK10","TBX21","TIGIT","TOMM7","VCL","WDR43","ZNF683"
"IL10RA",0,0,0,0.405,0,0,0,0,0,0.451,0,0,0,0,0,0,0,0,0.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443,0,0,0,0,0,0,0,0,0,0,0.435,0,0.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL17RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0
"IL2RA",0,0,0,0,0,0,0.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2RB",0,0,0,0,0,0,0,0,0,0.681,0,0,0,0,0,0,0,0,0,0.422,0,0.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768,0,0.779,0.451,0.51,0,0,0,0,0,0,0,0,0,0.534,0,0,0,0,0,0.672,0,0,0,0.796,0,0,0,0,0,0,0.416,0,0,0,0.48,0.426,0,0,0,0
"IL7R",0,0,0,0,0,0,0.457,0,0,0.53,0,0,0,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGAM",0,0,0,0,0,0,0,0,0,0,0,0,0.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0.445,0,0,0,0,0.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGB2",0,0.581,0,0,0,0,0,0.495,0,0,0,0,0.415,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492,0,0,0,0,0,0,0,0,0,0.443,0,0,0,0,0.55,0,0,0,0,0,0,0.489,0,0,0,0,0.549,0,0.53,0,0,0,0,0,0,0,0.404,0,0,0,0,0,0,0
"KLRB1",0,0,0,0,0,0,0,0,0,0.773,0,0,0,0.524,0,0.401,0,0,0.435,0,0,0.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,0,0.442,0.457,0.783,0,0,0,0,0,0,0,0,0,0,0.488,0,0,0,0,0.432,0,0,0,0.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLRD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658,0,0,0,0,0,0,0,0,0,0,0,0.491,0,0,0,0,0.78,0,0.556,0.779,0.478,0,0,0,0,0.534,0,0,0,0,0,0.767,0,0,0,0,0.787,0,0,0,0.792,0,0,0,0,0,0.442,0.632,0,0,0,0.484,0,0,0,0,0
"KLRF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457,0,0,0,0,0.525,0,0,0.401,0,0,0,0,0,0,0,0,0,0.488,0.767,0,0,0,0,0,0,0,0,0,0.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGALS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTB",0,0,0,0,0,0,0.503,0,0,0.404,0,0,0,0,0,0,0,0,0,0.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYO1F",0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445,0.489,0,0,0,0,0,0,0,0,0,0,0,0,0.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYO1G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NKG7",0,0,0,0,0,0,0,0,0,0.767,0,0,0,0.482,0,0.432,0,0,0,0,0,0.781,0,0,0,0,0,0,0,0,0,0,0,0.473,0,0,0,0,0.787,0,0.785,0.862,0.777,0.424,0,0,0,0.672,0,0,0,0.432,0.787,0,0,0,0,0,0,0,0,0,0.883,0,0,0,0,0,0,0,0,0,0,0.425,0,0,0,0,0
"NOP53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503,0,0.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464,0.556,0,0.646,0,0,0,0,0,0,0,0,0,0.634,0
"NPM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573,0,0,0.412,0,0,0,0,0,0,0,0,0,0,0
"PLEK",0,0,0,0.44,0.44,0,0,0,0,0,0,0,0.435,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526,0,0,0,0,0.446,0,0,0,0,0.435,0,0,0,0,0.439,0.549,0,0,0,0,0,0,0,0,0,0,0,0,0.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRF1",0,0,0,0,0,0,0,0,0,0.557,0,0,0,0,0.483,0.495,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0.478,0,0,0,0,0.869,0,0.81,0.793,0.502,0,0,0,0,0.796,0,0,0,0.409,0.792,0.482,0,0,0,0,0.883,0,0,0,0,0,0,0,0,0,0.433,0.432,0,0,0,0.548,0,0,0,0,0
